Date,Open,High,Low,Close,Adj Close,Volume
2010-02-18,47.799999,48.509998,47.020000,47.200001,42.645664,5075005
2010-02-19,47.000000,47.000000,45.419998,45.869999,41.443996,8918880
2010-02-22,46.900002,47.779999,46.459999,46.910000,42.383648,7945525
2010-02-23,48.500000,48.500000,46.799999,47.230000,42.672764,3237425
2010-02-24,46.980000,47.340000,45.919998,46.160000,41.706013,5871740
2010-02-25,46.400002,46.599998,44.639999,44.950001,40.612774,13324765
2010-02-26,45.220001,48.139999,44.500000,47.320000,42.754089,12029995
2010-03-02,48.180000,49.340000,47.639999,49.020000,44.290054,9204630
2010-03-03,49.400002,50.220001,49.119999,49.939999,45.121288,10502485
2010-03-04,49.599998,51.180000,49.529999,50.900002,45.988659,11228195
2010-03-05,51.020000,51.340000,50.119999,50.320000,45.464619,4388420
2010-03-08,50.980000,51.340000,50.320000,50.799999,45.898300,5080655
2010-03-09,51.000000,51.009998,49.599998,49.830002,45.021904,2641015
2010-03-10,49.599998,50.169998,49.270000,49.669998,44.877335,3003660
2010-03-11,49.259998,50.740002,49.259998,50.360001,45.500763,4836475
2010-03-12,50.599998,51.740002,50.599998,50.750000,45.853130,10432030
2010-03-15,50.599998,50.599998,49.509998,49.709999,44.913479,3612175
2010-03-16,50.000000,50.000000,48.509998,48.900002,44.181633,10078685
2010-03-17,49.299999,49.700001,49.009998,49.189999,44.443649,3913475
2010-03-18,49.299999,50.160000,48.959999,49.910000,45.094181,5650745
2010-03-19,50.009998,50.480000,48.230000,49.459999,44.687595,8837680
2010-03-22,48.560001,48.900002,47.750000,47.959999,43.332336,7115865
2010-03-23,48.419998,48.619999,47.400002,47.580002,42.988998,5133095
2010-03-25,47.939999,48.599998,47.200001,48.180000,43.531109,5224820
2010-03-26,48.400002,50.500000,48.400002,50.279999,45.428478,8707655
2010-03-29,50.419998,52.000000,50.419998,51.490002,46.521721,14296780
2010-03-30,52.009998,52.160000,51.139999,51.310001,46.359093,7335645
2010-03-31,51.820000,51.820000,50.470001,51.240002,46.295849,5007975
2010-04-01,51.560001,51.930000,51.310001,51.610001,46.630146,3521710
2010-04-05,52.200001,53.070000,51.980000,52.840000,47.741463,4644245
2010-04-06,53.200001,53.580002,52.220001,52.480000,47.416203,6365145
2010-04-07,52.599998,52.860001,51.400002,52.090000,47.063835,10603225
2010-04-08,51.990002,52.480000,51.540001,51.990002,46.973480,6244530
2010-04-09,51.990002,52.980000,51.950001,52.730000,47.642078,4370760
2010-04-12,52.740002,52.959999,52.250000,52.660000,47.578831,2224415
2010-04-13,52.900002,53.000000,51.330002,51.549999,46.575939,5783615
2010-04-15,51.900002,52.400002,50.020000,50.389999,45.527863,4089115
2010-04-16,50.200001,50.470001,49.349998,49.889999,45.076111,5549495
2010-04-19,49.000000,51.060001,49.000000,50.770000,45.871197,7217440
2010-04-20,50.820000,51.790001,50.320000,51.310001,46.359093,7296230
2010-04-21,51.770000,54.630001,51.610001,54.349998,49.105766,16987455
2010-04-22,54.340000,54.779999,53.450001,53.790001,48.599800,8208165
2010-04-23,53.700001,54.529999,53.700001,54.209999,48.979267,4530325
2010-04-26,54.820000,56.490002,54.700001,56.259998,50.831463,12143365
2010-04-27,56.560001,57.080002,54.849998,55.119999,49.801464,21166970
2010-04-28,54.400002,56.000000,54.080002,55.459999,50.108654,9269630
2010-04-29,55.380001,59.080002,55.380001,58.650002,52.990860,28447035
2010-04-30,59.599998,59.599998,56.709999,57.130001,51.617519,19277190
2010-05-03,56.950001,57.970001,56.439999,57.389999,51.852436,7647895
2010-05-04,57.900002,58.080002,55.660000,55.880001,50.488140,8617910
2010-05-05,54.639999,55.799999,54.020000,55.270000,49.936996,20693300
2010-05-06,54.900002,55.279999,53.520000,54.009998,48.798569,13834000
2010-05-07,52.509998,53.860001,52.400002,52.950001,47.840851,7877845
2010-05-10,53.320000,55.950001,53.299999,55.590000,50.226116,9155110
2010-05-11,55.799999,56.189999,54.599998,55.180000,49.855682,5954410
2010-05-12,55.340000,55.480000,53.279999,54.410000,49.159977,8773350
2010-05-13,55.200001,55.970001,54.790001,55.419998,50.072517,13422185
2010-05-14,55.599998,55.599998,54.259998,54.570000,49.304539,5220730
2010-05-17,51.439999,55.270000,48.000000,54.560001,49.295502,8113765
2010-05-18,54.540001,55.369999,53.930000,54.549999,49.286461,6345270
2010-05-19,54.000000,54.779999,52.720001,53.040001,47.922169,13933505
2010-05-20,52.799999,55.189999,52.529999,54.869999,49.575592,10469935
2010-05-21,54.000000,54.200001,52.130001,53.080002,47.958309,7767870
2010-05-24,53.990002,54.560001,52.320000,52.770000,47.678223,3885065
2010-05-25,52.480000,52.560001,51.299999,51.639999,46.657249,5831720
2010-05-26,52.259998,52.779999,51.709999,52.250000,47.208389,3842215
2010-05-27,52.580002,53.990002,50.709999,53.439999,48.283573,9105955
2010-05-28,54.360001,56.939999,53.830002,56.349998,50.912788,17248615
2010-05-31,56.400002,57.939999,55.930000,57.590000,52.033134,15246660
2010-06-01,57.070000,57.340000,55.400002,55.790001,50.406815,9646175
2010-06-02,56.000000,56.990002,55.799999,56.709999,51.238041,5225210
2010-06-03,57.000000,59.450001,56.709999,59.049999,53.352261,15319490
2010-06-04,59.669998,59.880001,58.110001,58.439999,52.801117,20339135
2010-06-07,55.000000,57.630001,55.000000,57.200001,51.680767,9889885
2010-06-08,57.740002,58.660000,56.299999,56.509998,51.057346,12587730
2010-06-09,56.799999,57.240002,54.840000,55.849998,50.461029,15872790
2010-06-10,56.400002,56.660000,55.080002,56.360001,50.921818,14100950
2010-06-11,57.200001,58.060001,56.400002,57.520000,51.969891,19351665
2010-06-14,57.799999,57.970001,56.830002,57.340000,51.807259,7216670
2010-06-15,57.099998,57.099998,56.020000,56.740002,51.265156,6833705
